Time (ms),Theta_1,y_measured,y_real,y,theta_1_rad
0,3.906556,-36.03056,36.5,0.46944,0.068182265
33,4.703773,-36.0658,36.5,0.4342,0.082096326
67,5.487455,-36.11494,36.5,0.38506,0.095774157
100,6.252511,-36.18354,36.5,0.31646,0.109126903
133,7.007797,-36.26665,36.5,0.23335,0.122309131
166,7.779894,-36.35221,36.5,0.14779,0.135784766
200,8.625007,-36.42822,36.5,0.07178,0.15053477
233,9.602865,-36.48475,36.5,0.01525,0.167601612
267,10.7246,-36.50806,36.5,-0.00806,0.187179581
300,11.951,-36.48302,36.5,0.01698,0.208584299
333,13.22082,-36.40947,36.5,0.09053,0.230746839
366,14.43483,-36.31053,36.5,0.18947,0.25193531
400,15.41714,-36.21907,36.5,0.28093,0.269079854
425,15.90953,-36.15783,36.5,0.34217,0.277673681
459,15.63573,-36.12683,36.5,0.37317,0.272894969
493,14.44619,-36.10227,36.5,0.39773,0.25213358
527,12.42579,-36.05693,36.5,0.44307,0.216870948
569,9.852786,-35.99383,36.5,0.50617,0.171963556
602,7.067832,-35.95238,36.5,0.54762,0.123356939
636,4.34161,-35.97242,36.5,0.52758,0.075775389
669,1.795712,-36.05893,36.5,0.44107,0.031341087
702,-0.5865632,-36.18435,36.5,0.31565,-0.010237459
736,-2.875778,-36.31435,36.5,0.18565,-0.050191795
769,-5.100138,-36.42813,36.5,0.07187,-0.0890142
802,-7.21452,-36.52066,36.5,-0.02066,-0.125917128
835,-9.143431,-36.59341,36.5,-0.09341,-0.159582976
869,-10.82497,-36.64653,36.5,-0.14653,-0.188931368
902,-12.21253,-36.67829,36.5,-0.17829,-0.213148858
935,-13.27507,-36.688,36.5,-0.188,-0.23169368
969,-14.03365,-36.67421,36.5,-0.17421,-0.244933399
1002,-14.58404,-36.63233,36.5,-0.13233,-0.254539516
1035,-15.05779,-36.56336,36.5,-0.06336,-0.262808014
1069,-15.57237,-36.4846,36.5,0.0154,-0.271789129
1102,-16.19146,-36.42217,36.5,0.07783,-0.282594288
1135,-16.84974,-36.38793,36.5,0.11207,-0.294083441
1169,-17.28561,-36.36522,36.5,0.13478,-0.301690808
1202,-17.10592,-36.32218,36.5,0.17782,-0.298554626
1235,-16.07168,-36.24742,36.5,0.25258,-0.280503732
1302,-14.41323,-36.17496,36.5,0.32504,-0.251558319
1335,-12.67983,-36.15825,36.5,0.34175,-0.221304782
1369,-11.19284,-36.21441,36.5,0.28559,-0.195351911
1402,-9.856277,-36.30954,36.5,0.19046,-0.172024486
1435,-8.469867,-36.3993,36.5,0.1007,-0.147827066
1469,-6.992182,-36.46594,36.5,0.03406,-0.122036598
1502,-5.509887,-36.51188,36.5,-0.01188,-0.09616567
1535,-4.110396,-36.53915,36.5,-0.03915,-0.071739944
1569,-2.835012,-36.55146,36.5,-0.05146,-0.049480294
1602,-1.689752,-36.56132,36.5,-0.06132,-0.029491736
1635,-0.6566536,-36.58011,36.5,-0.08011,-0.011460767
1669,0.2846621,-36.60786,36.5,-0.10786,0.004968291
1702,1.13113,-36.63779,36.5,-0.13779,0.019741943
1735,1.859686,-36.66597,36.5,-0.16597,0.032457644
1769,2.455776,-36.69608,36.5,-0.19608,0.042861377
1802,2.943089,-36.73814,36.5,-0.23814,0.051366593
1835,3.393474,-36.79851,36.5,-0.29851,0.059227294
1868,3.887138,-36.86941,36.5,-0.36941,0.067843357
1902,4.461663,-36.93489,36.5,-0.43489,0.077870709
1935,5.124837,-36.9856,36.5,-0.4856,0.089445279
1968,5.887773,-37.01923,36.5,-0.51923,0.102761024
2002,6.748316,-37.03422,36.5,-0.53422,0.117780333
2035,7.668149,-37.02988,36.5,-0.52988,0.133834448
2068,8.594659,-37.00711,36.5,-0.50711,0.150005098
2102,9.493567,-36.97073,36.5,-0.47073,0.165694002
2135,10.35416,-36.92872,36.5,-0.42872,0.180714183
2168,11.18977,-36.88247,36.5,-0.38247,0.195298329
2193,12.03986,-36.82513,36.5,-0.32513,0.210135198
2227,12.92631,-36.75139,36.5,-0.25139,0.22560667
2261,13.77597,-36.66429,36.5,-0.16429,0.240436034
2295,14.38774,-36.57499,36.5,-0.07499,0.251113435
2329,14.4853,-36.49462,36.5,0.00538,0.252816178
2363,13.83433,-36.42019,36.5,0.07981,0.241454608
2397,12.35297,-36.33286,36.5,0.16714,0.215599999
2431,10.1463,-36.22048,36.5,0.27952,0.177086342
2465,7.449073,-36.10157,36.5,0.39843,0.13001085
2499,4.500747,-36.02093,36.5,0.47907,0.078552854
2533,1.43534,-36.02236,36.5,0.47764,0.025051409
2567,-1.682298,-36.11841,36.5,0.38159,-0.029361639
2635,-4.705933,-36.27394,36.5,0.22606,-0.082134025
2677,-7.412178,-36.42869,36.5,0.07131,-0.129366911
2710,-9.677683,-36.54541,36.5,-0.04541,-0.168907432
2743,-11.52612,-36.62435,36.5,-0.12435,-0.201168744
2777,-13.01733,-36.67619,36.5,-0.17619,-0.227195268
2810,-14.17651,-36.70101,36.5,-0.20101,-0.247426776
2843,-14.99893,-36.69351,36.5,-0.19351,-0.261780713
