Time (ms),Theta_1_deg,Theta_1_rad,y,y_real,y_delta,Theta _2_deg,Theta_2_rad
400,15.41714,0.269079854,-36.21907,36.5,0.28093,32.12651,0.560713377
425,15.90953,0.277673681,-36.15783,36.5,0.34217,34.21631,0.597187267
459,15.63573,0.272894969,-36.12683,36.5,0.37317,36.82627,0.642739663
493,14.44619,0.25213358,-36.10227,36.5,0.39773,40.33458,0.703971223
527,12.42579,0.216870948,-36.05693,36.5,0.44307,44.76199,0.781244105
569,9.852786,0.171963556,-35.99383,36.5,0.50617,49.59896,0.865665158
602,7.067832,0.123356939,-35.95238,36.5,0.54762,53.91567,0.94100596
636,4.34161,0.075775389,-35.97242,36.5,0.52758,56.73302,0.990177994
669,1.795712,0.031341087,-36.05893,36.5,0.44107,57.40252,1.001862973
702,-0.5865632,-0.010237459,-36.18435,36.5,0.31565,55.78477,0.973627909
736,-2.875778,-0.050191795,-36.31435,36.5,0.18565,52.17968,0.910707219
769,-5.100138,-0.0890142,-36.42813,36.5,0.07187,47.09365,0.821939249
802,-7.21452,-0.125917128,-36.52066,36.5,-0.02066,41.00735,0.715713275
835,-9.143431,-0.159582976,-36.59341,36.5,-0.09341,34.27946,0.598289443
869,-10.82497,-0.188931368,-36.64653,36.5,-0.14653,27.18817,0.474523084
902,-12.21253,-0.213148858,-36.67829,36.5,-0.17829,19.98047,0.348724988
935,-13.27507,-0.23169368,-36.688,36.5,-0.188,12.86245,0.224492102
969,-14.03365,-0.244933399,-36.67421,36.5,-0.17421,6.025981,0.105173209
1002,-14.58404,-0.254539516,-36.63233,36.5,-0.13233,-0.2646807,-0.00461955
1035,-15.05779,-0.262808014,-36.56336,36.5,-0.06336,-5.64956,-0.098603423
1069,-15.57237,-0.271789129,-36.4846,36.5,0.0154,-9.746778,-0.170113368
1102,-16.19146,-0.282594288,-36.42217,36.5,0.07783,-12.2618,-0.214008782
1135,-16.84974,-0.294083441,-36.38793,36.5,0.11207,-13.11539,-0.228906738
1169,-17.28561,-0.301690808,-36.36522,36.5,0.13478,-12.52216,-0.218552921
1202,-17.10592,-0.298554626,-36.32218,36.5,0.17782,-10.91862,-0.190565869
1235,-16.07168,-0.280503732,-36.24742,36.5,0.25258,-8.77002,-0.153065724
1302,-14.41323,-0.251558319,-36.17496,36.5,0.32504,-6.395664,-0.111625395
