Time (ms),Theta 1,y,Theta 2,Theta 2 Optimized
0,3.906556,-36.03056,,
33,4.703773,-36.0658,,
67,5.487455,-36.11494,,
100,6.252511,-36.18354,,
133,7.007797,-36.26665,,
166,7.779894,-36.35221,,
200,8.625007,-36.42822,,
233,9.602865,-36.48475,,
267,10.7246,-36.50806,,
300,11.951,-36.48302,,
333,13.22082,-36.40947,,
366,14.43483,-36.31053,,
400,15.41714,-36.21907,32.12651,
425,15.90953,-36.15783,34.21631,
459,15.63573,-36.12683,36.82627,
493,14.44619,-36.10227,40.33458,
527,12.42579,-36.05693,44.76199,
569,9.852786,-35.99383,49.59896,
602,7.067832,-35.95238,53.91567,
636,4.34161,-35.97242,56.73302,
669,1.795712,-36.05893,57.40252,
702,-0.5865632,-36.18435,55.78477,
736,-2.875778,-36.31435,52.17968,
769,-5.100138,-36.42813,47.09365,
802,-7.21452,-36.52066,41.00735,
835,-9.143431,-36.59341,34.27946,
869,-10.82497,-36.64653,27.18817,
902,-12.21253,-36.67829,19.98047,
935,-13.27507,-36.688,12.86245,
969,-14.03365,-36.67421,6.025981,
1002,-14.58404,-36.63233,-0.2646807,
1035,-15.05779,-36.56336,-5.64956,
1069,-15.57237,-36.4846,-9.746778,
1102,-16.19146,-36.42217,-12.2618,
1135,-16.84974,-36.38793,-13.11539,
1169,-17.28561,-36.36522,-12.52216,
1202,-17.10592,-36.32218,-10.91862,
1235,-16.07168,-36.24742,-8.77002,
1302,-14.41323,-36.17496,-6.395664,
1335,-12.67983,-36.15825,-3.941785,
1369,-11.19284,-36.21441,-1.482997,
1402,-9.856277,-36.30954,0.8904722,
1435,-8.469867,-36.3993,3.083343,
1469,-6.992182,-36.46594,5.045086,
1502,-5.509887,-36.51188,6.774399,
1535,-4.110396,-36.53915,8.289525,
1569,-2.835012,-36.55146,9.611572,
1602,-1.689752,-36.56132,10.7614,
1635,-0.6566536,-36.58011,11.76152,
1669,0.2846621,-36.60786,12.64326,
1702,1.13113,-36.63779,13.44728,
1735,1.859686,-36.66597,14.21117,
1769,2.455776,-36.69608,14.95156,
1802,2.943089,-36.73814,15.65458,
1835,3.393474,-36.79851,16.28852,
1868,3.887138,-36.86941,16.82671,
1902,4.461663,-36.93489,17.26174,
1935,5.124837,-36.9856,17.60884,
1968,5.887773,-37.01923,17.89957,
2002,6.748316,-37.03422,18.17946,
2035,7.668149,-37.02988,18.51429,
2068,8.594659,-37.00711,18.97422,
2102,9.493567,-36.97073,19.59355,
2135,10.35416,-36.92872,20.36412,
2168,11.18977,-36.88247,21.28948,
2193,12.03986,-36.82513,22.44088,
2227,12.92631,-36.75139,23.94666,
2261,13.77597,-36.66429,25.93496,
2295,14.38774,-36.57499,28.50581,
2329,14.4853,-36.49462,31.7395,
2363,13.83433,-36.42019,35.67834,
2397,12.35297,-36.33286,40.2604,
2431,10.1463,-36.22048,45.24561,
2465,7.449073,-36.10157,50.1659,
2499,4.500747,-36.02093,54.29604,
2533,1.43534,-36.02236,56.7095,
2567,-1.682298,-36.11841,56.59108,
2635,-4.705933,-36.27394,53.73254,
2677,-7.412178,-36.42869,48.6642,
2710,-9.677683,-36.54541,42.20964,
2743,-11.52612,-36.62435,35.03778,
2777,-13.01733,-36.67619,27.56697,
2810,-14.17651,-36.70101,20.05198,
2843,-14.99893,-36.69351,12.70217,
2876,-15.48041,-36.6545,5.755499,
2910,-15.65233,-36.58939,-0.5056098,
2943,-15.59895,-36.5038,-5.753838,
2976,-15.44475,-36.40786,-9.642472,
3010,-15.29707,-36.31607,-11.89319,
3043,-15.16104,-36.23843,-12.41716,
3077,-14.92326,-36.17828,-11.38836,
3110,-14.45453,-36.14014,-9.200185,
3144,-13.71319,-36.13609,-6.328204,
3177,-12.71787,-36.17753,-3.215903,
3210,-11.46421,-36.25704,-0.2294177,
3244,-9.944369,-36.34674,2.381587,
3277,-8.233086,-36.42152,4.52463,
3310,-6.485056,-36.4774,6.246237,
3344,-4.839192,-36.52428,7.650135,
3377,-3.350787,-36.5701,8.822243,
3410,-1.998079,-36.61514,9.813976,
3444,-0.7227414,-36.65435,10.66052,
3477,0.5209576,-36.68075,11.39214,
3510,1.733669,-36.68869,12.03572,
3543,2.88666,-36.68033,12.61816,
3577,3.965821,-36.66686,13.16556,
3610,5.002809,-36.65788,13.70124,
3635,6.06453,-36.65461,14.25825,
3669,7.200425,-36.65249,14.89808,
3711,8.419287,-36.64292,15.70738,
3745,9.742789,-36.61259,16.7588,
3778,11.21559,-36.54703,18.08005,
3845,12.7943,-36.44206,19.67479,
3878,14.3192,-36.3102,21.53732,
3911,15.657,-36.17052,23.64104,
3945,16.74854,-36.03951,25.9849,
3970,17.47595,-35.93724,28.66772,
4004,17.58652,-35.8912,31.8672,
4037,16.80754,-35.91446,35.73282,
4071,15.04485,-35.97692,40.29015,
4105,12.46958,-36.01995,45.37374,
4139,9.416998,-36.01253,50.55857,
4173,6.213489,-35.98362,55.13671,
4207,3.081491,-35.99306,58.26687,
4241,0.1399927,-36.0763,59.29013,
4275,-2.564872,-36.21947,57.95656,
4309,-5.037777,-36.37917,54.41922,
4343,-7.302267,-36.51784,49.09689,
4377,-9.363346,-36.62222,42.49582,
4411,-11.20038,-36.69743,35.06833,
4445,-12.77515,-36.75025,27.17846,
4479,-14.03383,-36.77963,19.14502,
4521,-14.91994,-36.78016,11.27872,
